id,value
flare,
flare.Artist,
flare.Artist.Bob Dylen,
flare.Artist.Bob Dylen.Love,3
flare.Artist.Bob Dylen.HeartBreaking,6
flare.Artist.Bob Dylen.people and places,3
flare.Artist.Bob Dylen.Sex,2
flare.Artist.Bob Dylen.Politics,5
flare.Artist.Bob Dylen.Life and death,5
flare.Artist.Beatels,
flare.Artist.Beatels.Love,6
flare.Artist.Beatels.Sex,2
flare.Artist.Beatels.HeartBreaking,1
flare.Artist.Beatels.People and places,6
flare.Artist.Beatels.Politics,2
flare.Artist.Beatels.Life and death,2
flare.Artist.David Bowie,
flare.Artist.David Bowie.Love,2
flare.Artist.David Bowie.HeartBreaking,2
flare.Artist.David Bowie.People and places,2
flare.Artist.David Bowie.Life and death,2
flare.Artist.David Bowie.Party,1
flare.Artist.Randy Newman,
flare.Artist.Randy Newman.Love,1
flare.Artist.Randy Newman.People and places,3
flare.Artist.Randy Newman.Sex,1
flare.Artist.Randy Newman.Politics,1
flare.Artist.Randy Newman.Life and death,1
flare.Artist.Randy Newman.Party,1
flare.Artist.The Rolling Stones,
flare.Artist.The Rolling Stones.HeartBreaking,2
flare.Artist.The Rolling Stones.People and places,2
flare.Artist.The Rolling Stones.Sex,2
flare.Artist.The Rolling Stones.Politics,1
flare.Artist.The Rolling Stones.Life and death,1
flare.Artist.Elvis Costello,
flare.Artist.Elvis Costello.Love,2
flare.Artist.Elvis Costello.Politics,1
flare.Artist.Elvis Costello.HeartBreaking,3
flare.Artist.Elvis Costello.Sex,2
flare.Artist.Elvis Costello.Life and death,1
flare.Artist.Elvis Presley,6
flare.Artist.Frank Sinatra,6
flare.Artist.Marvin Gaye,6
flare.Artist.Madonna,6
flare.Artist.Prince,6
flare.Artist.The Beach Boys,6
flare.Artist.The Kinks,6
flare.Artist.Al Green,5
flare.Artist.Chuck Berry,5
flare.Artist.Jhonny Cash,5
flare.Artist.Kate Bush,5
flare.Artist.Neil Young,5
flare.Artist.Pulp,5
flare.Artist.The Clash,5
flare.Artist.The Smiths,5
flare.Artist.The Supremes,5
flare.Artist.Tom Waits,5
flare.Artist.U2,5
flare.Artist.Artic Monkey,4
flare.Artist.Bill withers,4
flare.Artist.Bruce Springsteen,4
flare.Artist.Grace Jhons,4
flare.Artist.Paul Simon,4
flare.Artist.Ray Charles,4
flare.Artist.Rod Stewart,4
flare.Artist.Roy Orbison,4
flare.Artist.Steve Earle,4
flare.Artist.Stevie Wonder,4
flare.Artist.The Pogues,4
flare.Artist.The Police,4
flare.Artist.The Who,4
flare.Artist.Abba  23 more,3
flare.Artist.Bob Marley 94 more,2
flare.Artist.All Saints 515 more,1