YEAR	NUMBER	SONGS
1916	0	
1922	0	
1928	0	
1929	2	(What Did I Do To Be So) Black And Blue,How Can a Poor Man Stand Such Times and Live?
1931	0	
1932	1	Brother Can You Spare a Dime?
1935	0	
1936	0	
1938	1	The Bourgeois Blues
1939	1	Strange Fruit
1940	0	
1941	0	
1944	1	This Land Is Your Land
1946	0	
1949	0	
1950	0	
1951	0	
1952	0	
1953	0	
1954	0	
1955	0	
1956	0	
1957	0	
1958	0	
1959	0	
1960	1	The Ballad of Sharpeville
1961	0	
1962	0	
1963	3	Alabama,Masters of War,We Shall Overcome
1964	5	The Sun Is Burning,A Change Is Gonna Come,The Times They Are a-Changin’,When the Ship Comes In,Now That The Buffalo's Gone
1965	6	Maggie’s Farm,I Fought the Law,People Get Ready,Eve of Destruction,I Ain’t Marching Anymore,My Generation
1966	1	Trouble Every Day
1967	3	I Am the Walrus,Respect,The “Fish” Cheer/I-Feel-Like-I’m-Fixin’-to-Die Rag
1968	6	Revolution,Say It Loud – I’m Black and I’m Proud,The Village Green Preservation Society,Kick Out the Jams,Street Fighting Man,Long Walk to DC
1969	8	Melting Point,Okie from Muskogee,The Star-Spangled Banner,Give Peace a Chance,In the Ghetto,Don’t Call Me Nigger, Whitey,Monster,The Old Man’s Back Again (Dedicated to the Neo-Stalinist Regime)
1970	8	Ohio,Check Out Your Mind,Suicide Is Painless (Theme from M*A*S*H),Big Yellow Taxi,Whitey On the Moon,To Be Young, Gifted and Black,War,Southern Man
1971	7	A Day in the Life of a Tree,War Pigs,And the Band Played Waltzing Matilda,Mercy Mercy Me (The Ecology),What’s Going On?,Sam Stone,Peace Train
1972	0	
1973	2	I’m Gonna Be an Engineer,Get Up, Stand Up
1974	1	You Haven’t Done Nothin’
1975	2	Slavery Days,Hurricane
1976	4	Police and Thieves,Anarchy in the UK,The Killing of Georgie (Part I and II),Legalize It
1977	6	I Was Born This Way,White Riot,Zombie,Short People,God Save the Queen,If the Kids Are United
1978	2	Glad to Be Gay,Suspect Device
1979	4	Stand Up for Judas,California Über Alles,The Eton Rifles,Zimbabwe
1980	6	Stand Down Margaret,Army Dreamers,On the Blanket,Going Underground,Redemption Song,I’m Coming Out
1981	2	(We Don’t Need) This Fascist Groove Thang,Ghost Town
1982	4	Straight to Hell,The Message,Wham Rap! (Enjoy What You Do),Shipbuilding
1983	1	Sunday Bloody Sunday
1984	4	Smalltown Boy,Two Tribes,Free Nelson Mandela,Born in the USA
1985	7	Between the Wars,We Care a Lot,Víctor Jara of Chile,19,Material Girl,We Are the World,Asbestos Lead Asbestos
1986	2	Just Say No,Fall On Me 
1987	2	Sign o’ the Times,Bring the Noise
1988	4	Stop the Violence,Company Policy,Fuck tha Police,Streets of Sorrow/Birmingham Six
1989	5	Tramp the Dirt Down,Monkey Gone to Heaven,Fight the Power,Revolution,Rockin’ in the Free World
1990	1	Come Together
1991	1	Television: The Drug of the Nation
1992	4	Cop Killer,Killing in the Name,The Internationale,Swimsuit Issue
1993	1	Keep Ya Head Up
1994	0	
1995	0	
1996	1	The Man Don’t Give a Fuck
1997	0	
1998	0	
1999	1	Role Model
2000	1	American Skin (41 Shots)
2001	0	
2002	2	John Walker’s Blues,The Proud
2003	1	Me and Giuliani Down By the Schoolyard (A True Story)
2004	2	American Idiot,The Day After Tomorrow
2005	3	When the President Talks to God,16 Military Wives,BYOB
2006	3	Running the World,Not Ready to Make Nice,Harrowdown Hill
2007	4	Windowsill,Rainin’ in Paradize,Thou Shalt Always Kill,Dad’s Gonna Kill Me
2008	4	Another World,All the Blowing-Themselves-Up Motherfuckers (Will Realise the Minute They Die That They Were Suckers),Days of Fire,The Cottager’s Reply